0	0	    0.230	0.012	0	    0	    0  	    0	0
5	2	    0.240	0.012	0	    0	    0	    0	0
10	4.5	    0.220	0.012	162	    0	    0.012	0	0
15	7.5	    0.215	0.012	151	    0	    0.012	0	0
20	10	    0.180	0.012	139.5	0	    0.012	0	0
25	13	    0.180	0.012	131	    0	    0.012	0	0
30	17.5	0.150	0.012	120	    0	    0.012	0	0
35	23	    0.115	0.012	110	    0	    0.012	0	0
40	31	    0.080	0.012	100	    0	    0.012	0	0
