0	0	    2.6	    0.012	0	    0	    0	    0	0
5	2	    2.6	    0.012	0	    0	    0	    0	0
10	4.5	    2.4	    0.012	162	    0.012	0.012	0	0
15	7.5	    2.3	    0.012	151	    0.021	0.012	0	0
20	10	    2.1	    0.012	139.5	0.022	0.012	0	0
25	13	    2.0	    0.012	131	    0.045	0.012	0	0
30	17.5	1.7	    0.012	120	    0.085	0.012	0	0
35	23	    1.1	    0.012	110	    0.150	0.012	0	0
40	31	    0.660	0.012	100	    0.310	0.012	0	0
