Absorbance: 0.03	
187.923	-0	
188.387	-0	
188.851	-0	
189.315	-2.6	
189.779	-1.6	
190.242	-1.6	
190.706	-2.59	
191.17	-0	
191.633	-0	
192.097	-0	
192.56	-1.42	
193.024	-0	
193.487	-0	
193.951	-0	
194.414	-0	
194.877	-1.76	
195.34	-1.85	
195.803	-0	
196.266	-0	
196.73	-1.77	
197.193	-2.31	
197.656	-1.34	
198.118	-0	
198.581	-1.09	
199.044	-0.64	
199.507	-0.62	
199.97	-0.54	
200.432	-0.57	
200.895	-0.63	
201.358	-0.57	
201.82	-0.6	
202.283	-0.59	
202.745	-0.57	
203.207	-0.59	
203.67	-0.59	
204.132	-0.62	
204.594	-0.61	
205.056	-0.56	
205.519	-0.59	
205.981	-0.64	
206.443	-0.61	
206.905	-0.59	
207.367	-0.6	
207.829	-0.55	
208.291	-0.62	
208.752	-0.67	
209.214	-0.58	
209.676	-0.57	
210.138	-0.55	
210.599	-0.54	
211.061	-0.6	
211.522	-0.56	
211.984	-0.6	
212.445	-0.57	
212.907	-0.65	
213.368	-0.58	
213.829	-0.57	
214.291	-0.56	
214.752	-0.57	
215.213	-0.51	
215.674	-0.5	
216.135	-0.47	
216.596	-0.43	
217.057	-0.41	
217.518	-0.42	
217.979	-0.41	
218.44	-0.36	
218.9	-0.33	
219.361	-0.31	
219.822	-0.29	
220.282	-0.28	
220.743	-0.28	
221.204	-0.27	
221.664	-0.25	
222.125	-0.24	
222.585	-0.24	
223.045	-0.2	
223.506	-0.21	
223.966	-0.22	
224.426	-0.19	
224.886	-0.21	
225.346	-0.19	
225.806	-0.17	
226.266	-0.2	
226.726	-0.18	
227.186	-0.19	
227.646	-0.16	
228.106	-0.17	
228.566	-0.17	
229.025	-0.17	
229.485	-0.17	
229.945	-0.16	
230.404	-0.16	
230.864	-0.16	
231.323	-0.17	
231.783	-0.17	
232.242	-0.16	
232.702	-0.15	
233.161	-0.14	
233.62	-0.15	
234.079	-0.15	
234.538	-0.16	
234.998	-0.14	
235.457	-0.16	
235.916	-0.15	
236.375	-0.14	
236.834	-0.16	
237.292	-0.15	
237.751	-0.14	
238.21	-0.15	
238.669	-0.13	
239.127	-0.14	
239.586	-0.13	
240.045	-0.13	
240.503	-0.13	
240.962	-0.14	
241.42	-0.14	
241.878	-0.12	
242.337	-0.13	
242.795	-0.13	
243.253	-0.12	
243.712	-0.13	
244.17	-0.13	
244.628	-0.12	
245.086	-0.12	
245.544	-0.13	
246.002	-0.13	
246.46	-0.12	
246.918	-0.12	
247.375	-0.12	
247.833	-0.12	
248.291	-0.11	
248.749	-0.12	
249.206	-0.11	
249.664	-0.12	
250.121	-0.11	
250.579	-0.11	
251.036	-0.1	
251.494	-0.11	
251.951	-0.11	
252.408	-0.1	
252.866	-0.1	
253.323	-0.09	
253.78	-0.1	
254.237	-0.1	
254.694	-0.1	
255.151	-0.1	
255.608	-0.1	
256.065	-0.1	
256.522	-0.1	
256.979	-0.1	
257.435	-0.09	
257.892	-0.1	
258.349	-0.09	
258.805	-0.1	
259.262	-0.09	
259.718	-0.08	
260.175	-0.1	
260.631	-0.09	
261.088	-0.09	
261.544	-0.09	
262	-0.09	
262.457	-0.09	
262.913	-0.09	
263.369	-0.09	
263.825	-0.1	
264.281	-0.08	
264.737	-0.1	
265.193	-0.08	
265.649	-0.09	
266.105	-0.09	
266.561	-0.09	
267.016	-0.09	
267.472	-0.09	
267.928	-0.09	
268.383	-0.09	
268.839	-0.1	
269.294	-0.09	
269.75	-0.08	
270.205	-0.08	
270.661	-0.09	
271.116	-0.08	
271.571	-0.09	
272.026	-0.09	
272.482	-0.09	
272.937	-0.09	
273.392	-0.09	
273.847	-0.08	
274.302	-0.09	
274.757	-0.09	
275.212	-0.08	
275.666	-0.08	
276.121	-0.08	
276.576	-0.07	
277.031	-0.09	
277.485	-0.09	
277.94	-0.08	
278.395	-0.09	
278.849	-0.08	
279.303	-0.08	
279.758	-0.08	
280.212	-0.09	
280.667	-0.08	
281.121	-0.08	
281.575	-0.08	
282.029	-0.08	
282.483	-0.08	
282.937	-0.08	
283.391	-0.08	
283.845	-0.07	
284.299	-0.08	
284.753	-0.09	
285.207	-0.08	
285.661	-0.09	
286.115	-0.08	
286.568	-0.08	
287.022	-0.08	
287.475	-0.08	
287.929	-0.08	
288.383	-0.09	
288.836	-0.08	
289.289	-0.08	
289.743	-0.06	
290.196	-0.08	
290.649	-0.07	
291.102	-0.08	
291.556	-0.09	
292.009	-0.08	
292.462	-0.07	
292.915	-0.08	
293.368	-0.08	
293.821	-0.08	
294.274	-0.08	
294.726	-0.08	
295.179	-0.07	
295.632	-0.06	
296.084	-0.08	
296.537	-0.09	
296.99	-0.08	
297.442	-0.08	
297.895	-0.07	
298.347	-0.08	
298.8	-0.08	
299.252	-0.06	
299.704	-0.08	
300.156	-0.08	
300.609	-0.07	
301.061	-0.08	
301.513	-0.08	
301.965	-0.07	
302.417	-0.07	
302.869	-0.08	
303.321	-0.07	
303.773	-0.07	
304.224	-0.08	
304.676	-0.08	
305.128	-0.07	
305.579	-0.07	
306.031	-0.08	
306.483	-0.07	
306.934	-0.08	
307.386	-0.07	
307.837	-0.09	
308.288	-0.08	
308.74	-0.08	
309.191	-0.07	
309.642	-0.08	
310.093	-0.08	
310.544	-0.08	
310.996	-0.07	
311.447	-0.08	
311.898	-0.08	
312.348	-0.08	
312.799	-0.07	
313.25	-0.08	
313.701	-0.08	
314.152	-0.08	
314.602	-0.07	
315.053	-0.08	
315.504	-0.08	
315.954	-0.08	
316.405	-0.08	
316.855	-0.08	
317.305	-0.09	
317.756	-0.07	
318.206	-0.07	
318.656	-0.08	
319.107	-0.08	
319.557	-0.08	
320.007	-0.09	
320.457	-0.08	
320.907	-0.08	
321.357	-0.08	
321.807	-0.08	
322.257	-0.09	
322.706	-0.08	
323.156	-0.08	
323.606	-0.08	
324.056	-0.09	
324.505	-0.08	
324.955	-0.08	
325.404	-0.08	
325.854	-0.09	
326.303	-0.08	
326.753	-0.08	
327.202	-0.08	
327.651	-0.08	
328.1	-0.09	
328.55	-0.09	
328.999	-0.1	
329.448	-0.09	
329.897	-0.09	
330.346	-0.1	
330.795	-0.09	
331.244	-0.07	
331.693	-0.08	
332.141	-0.07	
332.59	-0.08	
333.039	-0.07	
333.487	-0.09	
333.936	-0.09	
334.385	-0.08	
334.833	-0.07	
335.282	-0.07	
335.73	-0.07	
336.178	-0.08	
336.627	-0.06	
337.075	-0.08	
337.523	-0.08	
337.971	-0.07	
338.419	-0.07	
338.867	-0.08	
339.315	-0.08	
339.763	-0.07	
340.211	-0.08	
340.659	-0.08	
341.107	-0.07	
341.555	-0.07	
342.002	-0.08	
342.45	-0.08	
342.898	-0.07	
343.345	-0.07	
343.793	-0.07	
344.24	-0.07	
344.688	-0.07	
345.135	-0.06	
345.582	-0.07	
346.03	-0.07	
346.477	-0.06	
346.924	-0.07	
347.371	-0.07	
347.818	-0.06	
348.265	-0.07	
348.712	-0.07	
349.159	-0.06	
349.606	-0.06	
350.053	-0.06	
350.5	-0.06	
350.947	-0.06	
351.393	-0.07	
351.84	-0.06	
352.287	-0.05	
352.733	-0.07	
353.18	-0.07	
353.626	-0.06	
354.072	-0.05	
354.519	-0.04	
354.965	-0.05	
355.411	-0.05	
355.858	-0.04	
356.304	-0.05	
356.75	-0.04	
357.196	-0.06	
357.642	-0.04	
358.088	-0.05	
358.534	-0.03	
358.98	-0.04	
359.425	-0.03	
359.871	-0.03	
360.317	-0.04	
360.763	-0.03	
361.208	-0.03	
361.654	-0.01	
362.099	-0.02	
362.545	-0.02	
362.99	-0.01	
363.436	-0.01	
363.881	-0.01	
364.326	-0	
364.771	0	
365.217	0	
365.662	0.02	
366.107	0.01	
366.552	0.01	
366.997	0.02	
367.442	0.03	
367.887	0.02	
368.332	0.03	
368.776	0.03	
369.221	0.04	
369.666	0.05	
370.11	0.04	
370.555	0.05	
371	0.05	
371.444	0.06	
371.888	0.06	
372.333	0.07	
372.777	0.06	
373.221	0.07	
373.666	0.08	
374.11	0.09	
374.554	0.09	
374.998	0.1	
375.442	0.1	
375.886	0.12	
376.33	0.12	
376.774	0.13	
377.218	0.12	
377.662	0.14	
378.106	0.13	
378.549	0.14	
378.993	0.14	
379.436	0.15	
379.88	0.15	
380.324	0.16	
380.767	0.16	
381.21	0.16	
381.654	0.17	
