Absorbance: 0.21	
345.135	-0.07	
345.582	-0.08	
346.03	-0.07	
346.477	-0.06	
346.924	-0.07	
347.371	-0.08	
347.818	-0.07	
348.265	-0.07	
348.712	-0.07	
349.159	-0.06	
349.606	-0.08	
350.053	-0.07	
350.5	-0.07	
350.947	-0.07	
351.393	-0.08	
351.84	-0.06	
352.287	-0.08	
352.733	-0.08	
353.18	-0.08	
353.626	-0.08	
354.072	-0.07	
354.519	-0.07	
354.965	-0.08	
355.411	-0.07	
355.858	-0.08	
356.304	-0.07	
356.75	-0.07	
357.196	-0.08	
357.642	-0.08	
358.088	-0.09	
358.534	-0.07	
358.98	-0.08	
359.425	-0.08	
359.871	-0.08	
360.317	-0.08	
360.763	-0.08	
361.208	-0.08	
361.654	-0.07	
362.099	-0.07	
362.545	-0.08	
362.99	-0.08	
363.436	-0.09	
363.881	-0.08	
364.326	-0.07	
364.771	-0.08	
365.217	-0.07	
365.662	-0.07	
366.107	-0.08	
366.552	-0.08	
366.997	-0.07	
367.442	-0.06	
367.887	-0.08	
368.332	-0.08	
368.776	-0.08	
369.221	-0.09	
369.666	-0.08	
370.11	-0.08	
370.555	-0.09	
371	-0.07	
371.444	-0.09	
371.888	-0.09	
372.333	-0.08	
372.777	-0.08	
373.221	-0.07	
373.666	-0.08	
374.11	-0.08	
374.554	-0.07	
374.998	-0.08	
375.442	-0.08	
375.886	-0.07	
376.33	-0.07	
376.774	-0.07	
377.218	-0.07	
377.662	-0.07	
378.106	-0.08	
378.549	-0.07	
378.993	-0.07	
379.436	-0.06	
379.88	-0.08	
380.324	-0.07	
380.767	-0.07	
381.21	-0.08	
381.654	-0.08	
382.097	-0.08	
382.54	-0.07	
382.984	-0.07	
383.427	-0.07	
383.87	-0.07	
384.313	-0.08	
384.756	-0.08	
385.199	-0.07	
385.642	-0.07	
386.085	-0.08	
386.528	-0.08	
386.97	-0.08	
387.413	-0.07	
387.856	-0.07	
388.298	-0.08	
388.741	-0.08	
389.183	-0.07	
389.626	-0.07	
390.068	-0.07	
390.511	-0.07	
390.953	-0.07	
391.395	-0.07	
391.838	-0.06	
392.28	-0.06	
392.722	-0.07	
393.164	-0.07	
393.606	-0.07	
394.048	-0.07	
394.49	-0.08	
394.932	-0.07	
395.374	-0.07	
395.815	-0.07	
396.257	-0.08	
396.699	-0.06	
397.141	-0.08	
397.582	-0.06	
398.024	-0.07	
398.465	-0.06	
398.907	-0.06	
399.348	-0.07	
399.789	-0.08	
400.231	-0.07	
400.672	-0.08	
401.113	-0.07	
401.554	-0.08	
401.995	-0.08	
402.436	-0.07	
402.877	-0.08	
403.318	-0.07	
403.759	-0.07	
404.2	-0.07	
404.641	-0.07	
405.082	-0.07	
405.522	-0.07	
405.963	-0.07	
406.404	-0.08	
406.844	-0.07	
407.285	-0.08	
407.725	-0.08	
408.166	-0.07	
408.606	-0.07	
409.046	-0.08	
409.487	-0.08	
409.927	-0.07	
410.367	-0.08	
410.807	-0.07	
411.247	-0.06	
411.687	-0.09	
412.127	-0.08	
412.567	-0.08	
413.007	-0.07	
413.447	-0.08	
413.886	-0.07	
414.326	-0.06	
414.766	-0.07	
415.205	-0.07	
415.645	-0.07	
416.084	-0.08	
416.524	-0.07	
416.963	-0.06	
417.403	-0.06	
417.842	-0.07	
418.281	-0.07	
418.721	-0.08	
419.16	-0.07	
419.599	-0.07	
420.038	-0.06	
420.477	-0.06	
420.916	-0.07	
421.355	-0.07	
421.794	-0.08	
422.233	-0.07	
422.671	-0.07	
423.11	-0.08	
423.549	-0.08	
423.987	-0.07	
424.426	-0.08	
424.864	-0.07	
425.303	-0.07	
425.741	-0.08	
426.18	-0.07	
426.618	-0.07	
427.056	-0.08	
427.495	-0.06	
427.933	-0.08	
428.371	-0.08	
428.809	-0.08	
429.247	-0.08	
429.685	-0.07	
430.123	-0.08	
430.561	-0.07	
430.999	-0.07	
431.436	-0.07	
431.874	-0.08	
432.312	-0.07	
432.749	-0.08	
433.187	-0.07	
433.625	-0.07	
434.062	-0.08	
434.5	-0.08	
434.937	-0.07	
435.374	-0.07	
435.812	-0.06	
436.249	-0.07	
436.686	-0.07	
437.123	-0.07	
437.56	-0.06	
437.997	-0.07	
438.434	-0.07	
438.871	-0.08	
439.308	-0.07	
439.745	-0.06	
440.182	-0.06	
440.618	-0.06	
441.055	-0.07	
441.492	-0.06	
441.928	-0.07	
442.365	-0.06	
442.801	-0.06	
443.238	-0.07	
443.674	-0.08	
444.111	-0.06	
444.547	-0.07	
444.983	-0.07	
445.419	-0.07	
445.855	-0.07	
446.292	-0.06	
446.728	-0.06	
447.164	-0.06	
447.599	-0.06	
448.035	-0.07	
448.471	-0.07	
448.907	-0.06	
449.343	-0.05	
449.778	-0.06	
450.214	-0.06	
450.65	-0.07	
451.085	-0.06	
451.521	-0.06	
451.956	-0.06	
452.392	-0.06	
452.827	-0.06	
453.262	-0.06	
453.697	-0.05	
454.133	-0.06	
454.568	-0.08	
455.003	-0.06	
455.438	-0.05	
455.873	-0.06	
456.308	-0.06	
456.743	-0.06	
457.178	-0.05	
457.612	-0.06	
458.047	-0.06	
458.482	-0.06	
458.917	-0.06	
459.351	-0.05	
459.786	-0.06	
460.22	-0.05	
460.655	-0.06	
461.089	-0.06	
461.523	-0.05	
461.958	-0.06	
462.392	-0.06	
462.826	-0.06	
463.26	-0.05	
463.694	-0.05	
