Absorbance: 0.03	
187.923	-0	
188.387	-0	
188.851	-0	
189.315	-2.59	
189.779	-1.61	
190.242	-1.6	
190.706	-2.59	
191.17	-0	
191.633	-0	
192.097	-0	
192.56	-1.43	
193.024	-0	
193.487	-0	
193.951	-0	
194.414	-0	
194.877	-1.76	
195.34	-1.83	
195.803	-0	
196.266	-0	
196.73	-1.76	
197.193	-2.31	
197.656	-1.34	
198.118	-0	
198.581	-1.1	
199.044	-0.66	
199.507	-0.63	
199.97	-0.55	
200.432	-0.56	
200.895	-0.62	
201.358	-0.57	
201.82	-0.59	
202.283	-0.57	
202.745	-0.57	
203.207	-0.57	
203.67	-0.6	
204.132	-0.6	
204.594	-0.6	
205.056	-0.55	
205.519	-0.58	
205.981	-0.63	
206.443	-0.61	
206.905	-0.59	
207.367	-0.6	
207.829	-0.55	
208.291	-0.61	
208.752	-0.66	
209.214	-0.58	
209.676	-0.56	
210.138	-0.53	
210.599	-0.55	
211.061	-0.58	
211.522	-0.56	
211.984	-0.59	
212.445	-0.55	
212.907	-0.64	
213.368	-0.57	
213.829	-0.57	
214.291	-0.54	
214.752	-0.56	
215.213	-0.49	
215.674	-0.48	
216.135	-0.44	
216.596	-0.41	
217.057	-0.39	
217.518	-0.39	
217.979	-0.36	
218.44	-0.33	
218.9	-0.27	
219.361	-0.25	
219.822	-0.25	
220.282	-0.24	
220.743	-0.22	
221.204	-0.23	
221.664	-0.2	
222.125	-0.21	
222.585	-0.21	
223.045	-0.15	
223.506	-0.17	
223.966	-0.19	
224.426	-0.17	
224.886	-0.18	
225.346	-0.16	
225.806	-0.17	
226.266	-0.18	
226.726	-0.17	
227.186	-0.17	
227.646	-0.15	
228.106	-0.17	
228.566	-0.16	
229.025	-0.17	
229.485	-0.17	
229.945	-0.16	
230.404	-0.16	
230.864	-0.16	
231.323	-0.17	
231.783	-0.17	
232.242	-0.17	
232.702	-0.17	
233.161	-0.15	
233.62	-0.16	
234.079	-0.16	
234.538	-0.16	
234.998	-0.15	
235.457	-0.17	
235.916	-0.16	
236.375	-0.15	
236.834	-0.15	
237.292	-0.15	
237.751	-0.14	
238.21	-0.16	
238.669	-0.15	
239.127	-0.15	
239.586	-0.15	
240.045	-0.15	
240.503	-0.14	
240.962	-0.14	
241.42	-0.15	
241.878	-0.14	
242.337	-0.14	
242.795	-0.13	
243.253	-0.12	
243.712	-0.13	
244.17	-0.13	
244.628	-0.13	
245.086	-0.13	
245.544	-0.13	
246.002	-0.13	
246.46	-0.13	
246.918	-0.12	
247.375	-0.13	
247.833	-0.12	
248.291	-0.12	
248.749	-0.12	
249.206	-0.12	
249.664	-0.13	
250.121	-0.11	
250.579	-0.12	
251.036	-0.11	
251.494	-0.12	
251.951	-0.12	
252.408	-0.11	
252.866	-0.11	
253.323	-0.11	
253.78	-0.11	
254.237	-0.11	
254.694	-0.1	
255.151	-0.11	
255.608	-0.11	
256.065	-0.1	
256.522	-0.11	
256.979	-0.11	
257.435	-0.1	
257.892	-0.11	
258.349	-0.1	
258.805	-0.1	
259.262	-0.11	
259.718	-0.09	
260.175	-0.11	
260.631	-0.1	
261.088	-0.1	
261.544	-0.1	
262	-0.09	
262.457	-0.1	
262.913	-0.1	
263.369	-0.1	
263.825	-0.1	
264.281	-0.09	
264.737	-0.11	
265.193	-0.1	
265.649	-0.1	
266.105	-0.11	
266.561	-0.1	
267.016	-0.1	
267.472	-0.1	
267.928	-0.1	
268.383	-0.1	
268.839	-0.1	
269.294	-0.1	
269.75	-0.09	
270.205	-0.1	
270.661	-0.09	
271.116	-0.09	
271.571	-0.1	
272.026	-0.1	
272.482	-0.1	
272.937	-0.1	
273.392	-0.1	
273.847	-0.09	
274.302	-0.1	
274.757	-0.1	
275.212	-0.1	
275.666	-0.1	
276.121	-0.1	
276.576	-0.09	
277.031	-0.11	
277.485	-0.1	
277.94	-0.09	
278.395	-0.1	
278.849	-0.09	
279.303	-0.09	
279.758	-0.09	
280.212	-0.1	
280.667	-0.1	
281.121	-0.09	
281.575	-0.09	
282.029	-0.09	
282.483	-0.09	
282.937	-0.1	
283.391	-0.1	
283.845	-0.09	
284.299	-0.1	
284.753	-0.11	
285.207	-0.09	
285.661	-0.1	
286.115	-0.09	
286.568	-0.09	
287.022	-0.09	
287.475	-0.09	
287.929	-0.09	
288.383	-0.09	
288.836	-0.09	
289.289	-0.1	
289.743	-0.09	
290.196	-0.09	
290.649	-0.09	
291.102	-0.1	
291.556	-0.1	
292.009	-0.1	
292.462	-0.09	
292.915	-0.08	
293.368	-0.09	
293.821	-0.09	
294.274	-0.09	
294.726	-0.1	
295.179	-0.09	
295.632	-0.08	
296.084	-0.09	
296.537	-0.1	
296.99	-0.09	
297.442	-0.09	
297.895	-0.09	
298.347	-0.09	
298.8	-0.1	
299.252	-0.08	
299.704	-0.09	
300.156	-0.09	
300.609	-0.08	
301.061	-0.08	
301.513	-0.09	
301.965	-0.09	
302.417	-0.09	
302.869	-0.09	
303.321	-0.09	
303.773	-0.09	
304.224	-0.09	
304.676	-0.09	
305.128	-0.08	
305.579	-0.09	
306.031	-0.09	
306.483	-0.08	
306.934	-0.09	
307.386	-0.08	
307.837	-0.1	
308.288	-0.09	
308.74	-0.08	
309.191	-0.08	
309.642	-0.09	
310.093	-0.09	
310.544	-0.09	
310.996	-0.07	
311.447	-0.08	
311.898	-0.09	
312.348	-0.08	
312.799	-0.08	
313.25	-0.09	
313.701	-0.08	
314.152	-0.08	
314.602	-0.08	
315.053	-0.09	
315.504	-0.08	
315.954	-0.08	
316.405	-0.08	
316.855	-0.08	
317.305	-0.1	
317.756	-0.09	
318.206	-0.08	
318.656	-0.09	
319.107	-0.08	
319.557	-0.09	
320.007	-0.09	
320.457	-0.09	
320.907	-0.09	
321.357	-0.08	
321.807	-0.09	
322.257	-0.1	
322.706	-0.08	
323.156	-0.09	
323.606	-0.09	
324.056	-0.1	
324.505	-0.09	
324.955	-0.09	
325.404	-0.09	
325.854	-0.09	
326.303	-0.09	
326.753	-0.08	
327.202	-0.08	
327.651	-0.1	
328.1	-0.1	
328.55	-0.1	
328.999	-0.11	
329.448	-0.1	
329.897	-0.1	
330.346	-0.11	
330.795	-0.09	
331.244	-0.09	
331.693	-0.09	
332.141	-0.09	
332.59	-0.09	
333.039	-0.09	
333.487	-0.1	
333.936	-0.1	
334.385	-0.09	
334.833	-0.09	
335.282	-0.09	
335.73	-0.09	
336.178	-0.1	
336.627	-0.08	
337.075	-0.1	
337.523	-0.1	
337.971	-0.1	
338.419	-0.08	
338.867	-0.09	
339.315	-0.1	
339.763	-0.1	
340.211	-0.1	
340.659	-0.09	
341.107	-0.1	
341.555	-0.1	
342.002	-0.08	
342.45	-0.09	
342.898	-0.1	
343.345	-0.09	
343.793	-0.1	
344.24	-0.09	
344.688	-0.1	
345.135	-0.09	
345.582	-0.1	
346.03	-0.1	
346.477	-0.09	
346.924	-0.09	
347.371	-0.1	
347.818	-0.09	
348.265	-0.1	
348.712	-0.1	
349.159	-0.09	
349.606	-0.09	
350.053	-0.09	
350.5	-0.1	
350.947	-0.09	
351.393	-0.1	
351.84	-0.1	
352.287	-0.1	
352.733	-0.11	
353.18	-0.11	
353.626	-0.1	
354.072	-0.1	
354.519	-0.09	
354.965	-0.1	
355.411	-0.09	
355.858	-0.09	
356.304	-0.1	
356.75	-0.09	
357.196	-0.11	
357.642	-0.1	
358.088	-0.11	
358.534	-0.09	
358.98	-0.1	
359.425	-0.1	
359.871	-0.1	
360.317	-0.1	
360.763	-0.09	
361.208	-0.1	
361.654	-0.09	
362.099	-0.1	
362.545	-0.09	
362.99	-0.09	
363.436	-0.1	
363.881	-0.09	
364.326	-0.09	
364.771	-0.09	
365.217	-0.09	
365.662	-0.08	
366.107	-0.09	
366.552	-0.09	
366.997	-0.09	
367.442	-0.09	
367.887	-0.09	
368.332	-0.08	
368.776	-0.08	
369.221	-0.09	
369.666	-0.08	
370.11	-0.09	
370.555	-0.09	
371	-0.09	
371.444	-0.09	
371.888	-0.09	
372.333	-0.09	
372.777	-0.09	
373.221	-0.08	
373.666	-0.08	
374.11	-0.07	
374.554	-0.08	
374.998	-0.08	
375.442	-0.08	
375.886	-0.07	
376.33	-0.07	
376.774	-0.07	
377.218	-0.07	
377.662	-0.07	
378.106	-0.08	
378.549	-0.08	
378.993	-0.07	
379.436	-0.06	
