Absorbance: 0.24	
346.924	0.1	
347.371	0.1	
347.818	0.12	
348.265	0.11	
348.712	0.1	
349.159	0.12	
349.606	0.12	
350.053	0.13	
350.5	0.12	
350.947	0.12	
351.393	0.12	
351.84	0.13	
352.287	0.14	
352.733	0.13	
353.18	0.13	
353.626	0.13	
354.072	0.15	
354.519	0.15	
354.965	0.16	
355.411	0.14	
355.858	0.16	
356.304	0.17	
356.75	0.18	
357.196	0.17	
357.642	0.18	
358.088	0.18	
358.534	0.2	
358.98	0.19	
359.425	0.21	
359.871	0.2	
360.317	0.22	
360.763	0.22	
361.208	0.22	
361.654	0.24	
362.099	0.24	
362.545	0.25	
362.99	0.26	
363.436	0.26	
363.881	0.28	
364.326	0.29	
364.771	0.29	
365.217	0.29	
365.662	0.32	
366.107	0.31	
366.552	0.32	
366.997	0.33	
367.442	0.34	
367.887	0.35	
368.332	0.35	
368.776	0.36	
369.221	0.36	
369.666	0.38	
370.11	0.39	
370.555	0.4	
371	0.4	
371.444	0.41	
371.888	0.41	
372.333	0.43	
372.777	0.44	
373.221	0.46	
373.666	0.44	
374.11	0.48	
374.554	0.48	
374.998	0.49	
375.442	0.5	
375.886	0.52	
376.33	0.53	
376.774	0.53	
377.218	0.53	
377.662	0.55	
378.106	0.54	
378.549	0.55	
378.993	0.58	
379.436	0.58	
379.88	0.57	
380.324	0.59	
380.767	0.58	
381.21	0.57	
381.654	0.58	
382.097	0.59	
382.54	0.6	
382.984	0.58	
383.427	0.61	
383.87	0.6	
384.313	0.6	
384.756	0.6	
385.199	0.59	
385.642	0.62	
386.085	0.59	
386.528	0.62	
386.97	0.61	
387.413	0.63	
387.856	0.65	
388.298	0.63	
388.741	0.63	
389.183	0.65	
389.626	0.64	
390.068	0.65	
390.511	0.64	
390.953	0.65	
391.395	0.62	
391.838	0.66	
392.28	0.65	
392.722	0.66	
393.164	0.67	
393.606	0.67	
394.048	0.67	
394.49	0.64	
394.932	0.66	
395.374	0.64	
395.815	0.64	
396.257	0.63	
396.699	0.65	
397.141	0.64	
397.582	0.66	
398.024	0.66	
398.465	0.65	
398.907	0.68	
399.348	0.63	
399.789	0.64	
400.231	0.64	
400.672	0.62	
401.113	0.63	
401.554	0.62	
401.995	0.6	
402.436	0.62	
402.877	0.6	
403.318	0.62	
403.759	0.6	
404.2	0.6	
404.641	0.61	
405.082	0.59	
405.522	0.59	
405.963	0.58	
406.404	0.57	
406.844	0.59	
407.285	0.56	
407.725	0.58	
408.166	0.58	
408.606	0.58	
409.046	0.56	
409.487	0.55	
409.927	0.55	
410.367	0.54	
410.807	0.54	
411.247	0.56	
411.687	0.52	
412.127	0.54	
412.567	0.53	
413.007	0.52	
413.447	0.53	
413.886	0.52	
414.326	0.53	
414.766	0.52	
415.205	0.52	
415.645	0.49	
416.084	0.49	
416.524	0.49	
416.963	0.5	
417.403	0.48	
417.842	0.46	
418.281	0.46	
418.721	0.44	
419.16	0.44	
419.599	0.43	
420.038	0.44	
420.477	0.43	
420.916	0.44	
421.355	0.41	
421.794	0.4	
422.233	0.4	
422.671	0.39	
423.11	0.37	
423.549	0.37	
423.987	0.37	
424.426	0.34	
424.864	0.34	
425.303	0.34	
425.741	0.32	
426.18	0.3	
426.618	0.31	
427.056	0.29	
427.495	0.3	
427.933	0.28	
428.371	0.28	
428.809	0.27	
429.247	0.26	
429.685	0.25	
430.123	0.25	
430.561	0.24	
430.999	0.23	
431.436	0.23	
431.874	0.22	
432.312	0.21	
432.749	0.2	
433.187	0.2	
433.625	0.22	
434.062	0.19	
434.5	0.18	
434.937	0.18	
435.374	0.18	
435.812	0.19	
436.249	0.17	
436.686	0.17	
437.123	0.17	
437.56	0.17	
437.997	0.16	
438.434	0.15	
438.871	0.15	
439.308	0.14	
439.745	0.15	
440.182	0.14	
440.618	0.14	
441.055	0.14	
441.492	0.14	
441.928	0.14	
442.365	0.13	
442.801	0.14	
443.238	0.13	
443.674	0.12	
444.111	0.13	
444.547	0.13	
444.983	0.13	
445.419	0.11	
445.855	0.12	
446.292	0.13	
446.728	0.12	
447.164	0.12	
447.599	0.11	
448.035	0.13	
448.471	0.11	
448.907	0.11	
449.343	0.11	
449.778	0.11	
450.214	0.11	
450.65	0.11	
451.085	0.11	
451.521	0.11	
451.956	0.1	
452.392	0.12	
452.827	0.1	
453.262	0.1	
453.697	0.11	
454.133	0.1	
454.568	0.09	
455.003	0.09	
455.438	0.1	
455.873	0.1	
456.308	0.09	
456.743	0.09	
457.178	0.1	
457.612	0.08	
458.047	0.09	
458.482	0.09	
458.917	0.09	
459.351	0.09	
459.786	0.09	
460.22	0.09	
460.655	0.09	
461.089	0.08	
461.523	0.09	
461.958	0.08	
462.392	0.07	
462.826	0.09	
463.26	0.08	
463.694	0.08	
464.128	0.08	
464.562	0.08	
464.996	0.08	
465.43	0.08	
465.864	0.08	
466.298	0.09	
466.732	0.08	
467.165	0.09	
467.599	0.08	
468.033	0.08	
468.466	0.07	
468.9	0.07	
469.333	0.09	
469.767	0.08	
470.2	0.07	
470.633	0.07	
471.066	0.08	
471.5	0.08	
471.933	0.08	
472.366	0.08	
472.799	0.07	
473.232	0.07	
473.665	0.07	
474.098	0.07	
474.531	0.07	
474.963	0.06	
475.396	0.06	
475.829	0.07	
476.262	0.07	
476.694	0.07	
477.127	0.06	
477.559	0.06	
477.992	0.06	
478.424	0.07	
478.856	0.07	
479.289	0.06	
479.721	0.06	
480.153	0.06	
480.585	0.07	
481.017	0.07	
481.449	0.05	
481.881	0.05	
482.313	0.06	
482.745	0.06	
483.177	0.06	
483.609	0.06	
484.041	0.07	
484.472	0.07	
484.904	0.06	
485.336	0.06	
485.767	0.06	
486.199	0.05	
486.63	0.06	
487.062	0.06	
487.493	0.06	
487.924	0.06	
488.355	0.06	
488.787	0.06	
489.218	0.05	
489.649	0.06	
490.08	0.05	
