Tid	Kanal A
(s)	(mV)

0.00000000	17.66732000
0.00010000	16.73536000
0.00020000	17.66732000
0.00030000	17.66732000
0.00040000	17.66732000
0.00050000	16.73536000
0.00060000	17.66732000
0.00070000	17.66732000
0.00080000	17.66732000
0.00090000	17.66732000
0.00100000	17.66732000
0.00110000	17.66732000
0.00120000	17.66732000
0.00130000	17.66732000
0.00140000	17.66732000
0.00150000	17.66732000
0.00160000	17.66732000
0.00170000	17.66732000
0.00180000	16.73536000
0.00190000	16.73536000
0.00200000	16.73536000
0.00210000	17.66732000
0.00220000	16.73536000
0.00230000	16.73536000
0.00240000	16.73536000
0.00250000	17.66732000
0.00260000	17.66732000
0.00270000	16.73536000
0.00280000	16.73536000
0.00290000	16.73536000
0.00300000	16.73536000
0.00310000	16.73536000
0.00320000	16.73536000
0.00330000	16.73536000
0.00340000	16.73536000
0.00350000	17.66732000
0.00360000	17.66732000
0.00370000	17.66732000
0.00380000	16.73536000
0.00390000	17.66732000
0.00400000	17.66732000
0.00410000	17.66732000
0.00420000	16.73536000
0.00430000	17.66732000
0.00440000	17.66732000
0.00450000	17.66732000
0.00460000	17.66732000
0.00470000	16.73536000
0.00480000	17.66732000
0.00490000	17.66732000
0.00500000	16.73536000
0.00510000	17.66732000
0.00520000	17.66732000
0.00530000	17.66732000
0.00540000	16.73536000
0.00550000	16.73536000
0.00560000	17.66732000
0.00570000	17.66732000
0.00580000	16.73536000
0.00590000	16.73536000
0.00600000	16.73536000
0.00610000	16.73536000
0.00620000	16.73536000
0.00630000	17.66732000
0.00640000	17.66732000
0.00650000	17.66732000
0.00660000	16.73536000
0.00670000	17.66732000
0.00680000	17.66732000
0.00690000	17.66732000
0.00700000	17.66732000
0.00710000	17.66732000
0.00720000	17.66732000
0.00730000	17.66732000
0.00740000	16.73536000
0.00750000	16.73536000
0.00760000	17.66732000
0.00770000	16.73536000
0.00780000	17.66732000
0.00790000	16.73536000
0.00800000	17.66732000
0.00810000	17.66732000
0.00820000	17.66732000
0.00830000	17.66732000
0.00840000	16.73536000
0.00850000	17.66732000
0.00860000	16.73536000
0.00870000	16.73536000
0.00880000	16.73536000
0.00890000	17.66732000
0.00900000	16.73536000
0.00910000	16.73536000
0.00920000	16.73536000
0.00930000	16.73536000
0.00940000	16.73536000
0.00950000	16.73536000
0.00960000	16.73536000
0.00970000	17.66732000
0.00980000	16.73536000
0.00990000	16.73536000
0.01000000	16.73536000
0.01010000	16.73536000
0.01020000	16.73536000
0.01030000	16.73536000
0.01040000	16.73536000
0.01050000	16.73536000
0.01060000	16.73536000
0.01070000	16.73536000
0.01080000	16.73536000
0.01090000	16.73536000
0.01100000	17.66732000
0.01110000	16.73536000
0.01120000	16.73536000
0.01130000	16.73536000
0.01140000	17.66732000
0.01150000	17.66732000
0.01160000	17.66732000
0.01170000	17.66732000
0.01180000	16.73536000
0.01190000	16.73536000
0.01200000	16.73536000
0.01210000	17.66732000
0.01220000	16.73536000
0.01230000	16.73536000
0.01240000	16.73536000
0.01250000	16.73536000
0.01260000	17.66732000
0.01270000	17.66732000
0.01280000	16.73536000
0.01290000	17.66732000
0.01300000	17.66732000
0.01310000	16.73536000
0.01320000	16.73536000
0.01330000	16.73536000
0.01340000	16.73536000
0.01350000	16.73536000
0.01360000	16.73536000
0.01370000	16.73536000
0.01380000	16.73536000
0.01390000	16.73536000
0.01400000	16.73536000
0.01410000	17.66732000
0.01420000	16.73536000
0.01430000	16.73536000
0.01440000	16.73536000
0.01450000	16.73536000
0.01460000	16.73536000
0.01470000	17.66732000
0.01480000	17.66732000
0.01490000	17.66732000
0.01500000	17.66732000
0.01510000	17.66732000
0.01520000	16.73536000
0.01530000	16.73536000
0.01540000	16.73536000
0.01550000	16.73536000
0.01560000	17.66732000
0.01570000	16.73536000
0.01580000	16.73536000
0.01590000	16.73536000
0.01600000	16.73536000
0.01610000	16.73536000
0.01620000	17.66732000
0.01630000	16.73536000
0.01640000	16.73536000
0.01650000	16.73536000
0.01660000	16.73536000
0.01670000	16.73536000
0.01680000	16.73536000
0.01690000	16.73536000
0.01700000	16.73536000
0.01710000	16.73536000
0.01720000	16.73536000
0.01730000	16.73536000
