Tid	Kanal A
(s)	(mV)

0.00000000	15.80647000
0.00010000	15.80647000
0.00020000	15.80647000
0.00030000	15.80647000
0.00040000	15.80647000
0.00050000	15.80647000
0.00060000	15.80647000
0.00070000	15.80647000
0.00080000	14.87758000
0.00090000	15.80647000
0.00100000	15.80647000
0.00110000	15.80647000
0.00120000	15.80647000
0.00130000	15.80647000
0.00140000	15.80647000
0.00150000	15.80647000
0.00160000	15.80647000
0.00170000	15.80647000
0.00180000	15.80647000
0.00190000	15.80647000
0.00200000	15.80647000
0.00210000	15.80647000
0.00220000	15.80647000
0.00230000	15.80647000
0.00240000	15.80647000
0.00250000	15.80647000
0.00260000	15.80647000
0.00270000	15.80647000
0.00280000	15.80647000
0.00290000	15.80647000
0.00300000	15.80647000
0.00310000	15.80647000
0.00320000	15.80647000
0.00330000	15.80647000
0.00340000	15.80647000
0.00350000	15.80647000
0.00360000	15.80647000
0.00370000	15.80647000
0.00380000	15.80647000
0.00390000	15.80647000
0.00400000	14.87758000
0.00410000	14.87758000
0.00420000	14.87758000
0.00430000	15.80647000
0.00440000	15.80647000
0.00450000	15.80647000
0.00460000	15.80647000
0.00470000	15.80647000
0.00480000	15.80647000
0.00490000	14.87758000
0.00500000	15.80647000
0.00510000	14.87758000
0.00520000	14.87758000
0.00530000	14.87758000
0.00540000	15.80647000
0.00550000	14.87758000
0.00560000	14.87758000
0.00570000	14.87758000
0.00580000	15.80647000
0.00590000	14.87758000
0.00600000	14.87758000
0.00610000	14.87758000
0.00620000	14.87758000
0.00630000	14.87758000
0.00640000	14.87758000
0.00650000	14.87758000
0.00660000	14.87758000
0.00670000	14.87758000
0.00680000	14.87758000
0.00690000	14.87758000
0.00700000	15.80647000
0.00710000	15.80647000
0.00720000	14.87758000
0.00730000	15.80647000
0.00740000	14.87758000
0.00750000	14.87758000
0.00760000	14.87758000
0.00770000	14.87758000
0.00780000	14.87758000
0.00790000	15.80647000
0.00800000	14.87758000
0.00810000	14.87758000
0.00820000	14.87758000
0.00830000	14.87758000
0.00840000	14.87758000
0.00850000	14.87758000
0.00860000	14.87758000
0.00870000	14.87758000
0.00880000	14.87758000
0.00890000	14.87758000
0.00900000	14.87758000
0.00910000	15.80647000
0.00920000	14.87758000
0.00930000	14.87758000
0.00940000	14.87758000
0.00950000	15.80647000
0.00960000	14.87758000
0.00970000	14.87758000
0.00980000	14.87758000
0.00990000	14.87758000
0.01000000	14.87758000
0.01010000	15.80647000
0.01020000	14.87758000
0.01030000	14.87758000
0.01040000	14.87758000
0.01050000	15.80647000
0.01060000	14.87758000
0.01070000	14.87758000
0.01080000	14.87758000
0.01090000	14.87758000
0.01100000	14.87758000
0.01110000	14.87758000
0.01120000	14.87758000
0.01130000	14.87758000
0.01140000	14.87758000
0.01150000	14.87758000
0.01160000	14.87758000
0.01170000	14.87758000
0.01180000	14.87758000
0.01190000	14.87758000
0.01200000	14.87758000
0.01210000	14.87758000
0.01220000	14.87758000
0.01230000	14.87758000
0.01240000	14.87758000
0.01250000	14.87758000
0.01260000	14.87758000
0.01270000	14.87758000
0.01280000	14.87758000
0.01290000	14.87758000
0.01300000	14.87758000
0.01310000	14.87758000
0.01320000	14.87758000
0.01330000	14.87758000
0.01340000	14.87758000
0.01350000	14.87758000
0.01360000	14.87758000
0.01370000	14.87758000
0.01380000	14.87758000
0.01390000	14.87758000
0.01400000	14.87758000
0.01410000	14.87758000
0.01420000	14.87758000
0.01430000	14.87758000
0.01440000	14.87758000
0.01450000	14.87758000
0.01460000	14.87758000
0.01470000	14.87758000
0.01480000	14.87758000
0.01490000	14.87758000
0.01500000	15.80647000
0.01510000	14.87758000
0.01520000	14.87758000
0.01530000	14.87758000
0.01540000	14.87758000
0.01550000	14.87758000
0.01560000	14.87758000
0.01570000	14.87758000
0.01580000	14.87758000
0.01590000	14.87758000
0.01600000	14.87758000
0.01610000	14.87758000
0.01620000	14.87758000
0.01630000	14.87758000
0.01640000	14.87758000
0.01650000	15.80647000
0.01660000	15.80647000
0.01670000	14.87758000
0.01680000	15.80647000
0.01690000	15.80647000
0.01700000	14.87758000
0.01710000	15.80647000
0.01720000	14.87758000
0.01730000	14.87758000
